Period\Time Series:,RTD.M.S0.N.C_EONIA.E
2021-12-01,-0.49222
2021-11-01,-0.488
2021-10-01,-0.48557
2021-09-01,-0.48505
2021-08-01,-0.48291
2021-07-01,-0.48123
2021-06-01,-0.47959
2021-05-01,-0.47971
2021-04-01,-0.4808
2021-03-01,-0.47935
2021-02-01,-0.47875
2021-01-01,-0.47835
2020-12-01,-0.47245
2020-11-01,-0.47133
2020-10-01,-0.46936
2020-09-01,-0.46895
2020-08-01,-0.46771
2020-07-01,-0.46487
2020-06-01,-0.46073
2020-05-01,-0.45675
2020-04-01,-0.45155
2020-03-01,-0.44882
2020-02-01,-0.4533
2020-01-01,-0.45268
2019-12-01,-0.4562
2019-11-01,-0.45129
2019-10-01,-0.46422
2019-09-01,-0.40324
2019-08-01,-0.36123
2019-07-01,-0.36683
2019-06-01,-0.36155
2019-05-01,-0.36659
2019-04-01,-0.367
2019-03-01,-0.36786
2019-02-01,-0.36705
2019-01-01,-0.367
2018-12-01,-0.36047
2018-11-01,-0.36132
2018-10-01,-0.36604
2018-09-01,-0.3627
2018-08-01,-0.35913
2018-07-01,-0.36359
2018-06-01,-0.36176
2018-05-01,-0.3625
2018-04-01,-0.3657
2018-03-01,-0.3639
2018-02-01,-0.3647
2018-01-01,-0.36236
2017-12-01,-0.34226
2017-11-01,-0.34918
2017-10-01,-0.359
2017-09-01,-0.35814
2017-08-01,-0.35583
2017-07-01,-0.35948
2017-06-01,-0.35868
2017-05-01,-0.35886
2017-04-01,-0.35689
2017-03-01,-0.35348
2017-02-01,-0.35285
2017-01-01,-0.35155
2016-12-01,-0.35043
2016-11-01,-0.34873
2016-10-01,-0.34662
2016-09-01,-0.343
2016-08-01,-0.33883
2016-07-01,-0.32876
2016-06-01,-0.33255
2016-05-01,-0.338
2016-04-01,-0.33781
2016-03-01,-0.28771
2016-02-01,-0.24038
2016-01-01,-0.2387
2015-12-01,-0.19895
2015-11-01,-0.13467
2015-10-01,-0.13891
2015-09-01,-0.13568
2015-08-01,-0.12129
2015-07-01,-0.1177
2015-06-01,-0.1185
2015-05-01,-0.10575
2015-04-01,-0.0745
2015-03-01,-0.05036
2015-02-01,-0.036
2015-01-01,-0.05062
2014-12-01,-0.03014
2014-11-01,-0.01155
2014-10-01,-0.00448
2014-09-01,0.00659
2014-08-01,0.0179
2014-07-01,0.04326
2014-06-01,0.07576
2014-05-01,0.24805
2014-04-01,0.25385
2014-03-01,0.19186
2014-02-01,0.1567
2014-01-01,0.19609
2013-12-01,0.16865
2013-11-01,0.1031
2013-10-01,0.09335
2013-09-01,0.08033
2013-08-01,0.082
2013-07-01,0.09313
2013-06-01,0.08615
2013-05-01,0.07873
2013-04-01,0.081
2013-03-01,0.06695
2013-02-01,0.06765
2013-01-01,0.069
2012-12-01,0.07342
2012-11-01,0.0785
2012-10-01,0.0907
2012-09-01,0.0993
2012-08-01,0.11009
2012-07-01,0.18423
2012-06-01,0.33205
2012-05-01,0.337
2012-04-01,0.34511
2012-03-01,0.35673
2012-02-01,0.36562
2012-01-01,0.38005
2011-12-01,0.62705
2011-11-01,0.79
2011-10-01,0.95957
2011-09-01,1.00545
2011-08-01,0.90578
2011-07-01,1.01181
2011-06-01,1.12405
2011-05-01,1.03336
2011-04-01,0.96611
2011-03-01,0.6587
2011-02-01,0.7071
2011-01-01,0.65895
2010-12-01,0.49813
2010-11-01,0.59264
2010-10-01,0.70129
2010-09-01,0.45359
2010-08-01,0.42559
2010-07-01,0.48114
2010-06-01,0.35427
2010-05-01,0.3439
2010-04-01,0.35325
2010-03-01,0.34765
2010-02-01,0.3406
2010-01-01,0.344
2009-12-01,0.35459
2009-11-01,0.36238
2009-10-01,0.35868
2009-09-01,0.36318
2009-08-01,0.34748
2009-07-01,0.35757
2009-06-01,0.69805
2009-05-01,0.7821
2009-04-01,0.8419
2009-03-01,1.06195
2009-02-01,1.2571
2009-01-01,1.81224
2008-12-01,2.48643
2008-11-01,3.1502
2008-10-01,3.81978
2008-09-01,4.27332
2008-08-01,4.2989
2008-07-01,4.19083
2008-06-01,4.00671
2008-05-01,4.00967
2008-04-01,3.98682
2008-03-01,4.091
2008-02-01,4.02786
2008-01-01,4.02182
2007-12-01,3.87905
2007-11-01,4.02214
2007-10-01,3.94143
2007-09-01,4.02855
2007-08-01,4.04739
2007-07-01,4.06318
2007-06-01,3.95571
2007-05-01,3.79045
2007-04-01,3.81947
2007-03-01,3.69091
2007-02-01,3.5695
2007-01-01,3.56318
2006-12-01,3.50105
2006-11-01,3.32773
2006-10-01,3.27818
2006-09-01,3.04095
2006-08-01,2.96826
2006-07-01,2.81381
2006-06-01,2.69773
2006-05-01,2.57682
2006-04-01,2.62833
2006-03-01,2.52
2006-02-01,2.3495
2006-01-01,2.32636
2005-12-01,2.27571
2005-11-01,2.08591
2005-10-01,2.06714
2005-09-01,2.09409
2005-08-01,2.06087
2005-07-01,2.07286
2005-06-01,2.06227
2005-05-01,2.07
2005-04-01,2.07571
2005-03-01,2.05667
2005-02-01,2.0585
2005-01-01,2.07714
2004-12-01,2.05348
2004-11-01,2.085
2004-10-01,2.11143
2004-09-01,2.05182
2004-08-01,2.04045
2004-07-01,2.06773
2004-06-01,2.02773
2004-05-01,2.01524
2004-04-01,2.078
2004-03-01,2.00565
2004-02-01,2.0315
2004-01-01,2.02143
2003-12-01,2.05667
2003-11-01,1.973
2003-10-01,2.01478
2003-09-01,2.02091
2003-08-01,2.0981
2003-07-01,2.07826
2003-06-01,2.21333
2003-05-01,2.55714
2003-04-01,2.5605
2003-03-01,2.74905
2003-02-01,2.7635
2003-01-01,2.78682
2002-12-01,3.0945
2002-11-01,3.30429
2002-10-01,3.30043
2002-09-01,3.31857
2002-08-01,3.29273
2002-07-01,3.30174
2002-06-01,3.3485
2002-05-01,3.31
2002-04-01,3.31619
2002-03-01,3.264
2002-02-01,3.283
2002-01-01,3.29364
2001-12-01,3.33889
2001-11-01,3.50727
2001-10-01,3.9713
2001-09-01,3.9865
2001-08-01,4.4913
2001-07-01,4.50545
2001-06-01,4.53952
2001-05-01,4.65364
2001-04-01,5.06421
2001-03-01,4.78136
2001-02-01,4.9925
2001-01-01,4.75591
2000-12-01,4.82684
2000-11-01,4.82909
2000-10-01,4.76273
2000-09-01,4.59048
2000-08-01,4.41913
2000-07-01,4.30857
2000-06-01,4.29455
2000-05-01,3.92
2000-04-01,3.685
2000-03-01,3.51043
2000-02-01,3.27571
2000-01-01,3.04286
1999-12-01,3.04182
1999-11-01,2.93545
1999-10-01,2.5019
1999-09-01,2.43364
1999-08-01,2.44273
1999-07-01,2.52091
1999-06-01,2.56318
1999-05-01,2.55095
1999-04-01,2.70909
1999-03-01,2.92522
1999-02-01,3.118
1999-01-01,3.137
1998-12-01,3.09
1998-11-01,3.4
1998-10-01,3.66
1998-09-01,3.81
1998-08-01,3.78
1998-07-01,3.77
1998-06-01,3.76
1998-05-01,3.79
1998-04-01,3.76
1998-03-01,3.83
1998-02-01,4.22
1998-01-01,3.89
1997-12-01,3.98
1997-11-01,3.86
1997-10-01,4.28
1997-09-01,3.87
1997-08-01,4.02
1997-07-01,3.83
1997-06-01,3.94
1997-05-01,3.84
1997-04-01,3.85
1997-03-01,4.09
1997-02-01,4.35
1997-01-01,4.35
1996-12-01,4.04
1996-11-01,4.57
1996-10-01,4.15
1996-09-01,4.08
1996-08-01,4.39
1996-07-01,4.52
1996-06-01,4.73
1996-05-01,4.73
1996-04-01,4.71
1996-03-01,4.89
1996-02-01,4.89
1996-01-01,5.26
1995-12-01,5.62
1995-11-01,5.76
1995-10-01,6.02
1995-09-01,5.8
1995-08-01,5.96
1995-07-01,6.2
1995-06-01,6.36
1995-05-01,6.48
1995-04-01,6.53
1995-03-01,6.42
1995-02-01,6.03
1995-01-01,5.87
1994-12-01,5.24
1994-11-01,5.97
1994-10-01,6.13
1994-09-01,6
1994-08-01,5.94
1994-07-01,6.27
1994-06-01,6.32
1994-05-01,5.85
1994-04-01,6.22
1994-03-01,6.68
1994-02-01,6.73
1994-01-01,6.84
